Date,Rain
2/01/2020,0
3/01/2020,0
6/01/2020,0
7/01/2020,2.6
8/01/2020,2.8
9/01/2020,0.2
10/01/2020,0.2
13/01/2020,0.4
14/01/2020,0.2
15/01/2020,0
16/01/2020,0.6
17/01/2020,24.6
20/01/2020,0
21/01/2020,2.6
22/01/2020,0.2
23/01/2020,0
24/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
3/02/2020,21
4/02/2020,3
5/02/2020,0
6/02/2020,0.4
7/02/2020,79
10/02/2020,176
11/02/2020,0
12/02/2020,0
13/02/2020,7.2
14/02/2020,4.8
17/02/2020,1.2
18/02/2020,0.4
19/02/2020,10.2
20/02/2020,0.2
21/02/2020,0
24/02/2020,0.6
25/02/2020,0
26/02/2020,0
27/02/2020,0.2
28/02/2020,0
2/03/2020,0
3/03/2020,0
4/03/2020,19.6
5/03/2020,5.2
6/03/2020,36.4
9/03/2020,6.6
10/03/2020,3.4
11/03/2020,0.2
12/03/2020,0.6
13/03/2020,0
16/03/2020,12.6
17/03/2020,9.4
18/03/2020,0.2
19/03/2020,0
20/03/2020,0
23/03/2020,0.4
24/03/2020,5.4
25/03/2020,0.2
26/03/2020,18.4
27/03/2020,0.2
30/03/2020,0.8
31/03/2020,0
1/04/2020,0.2
2/04/2020,0
3/04/2020,4.2
6/04/2020,0
7/04/2020,4.2
8/04/2020,7.2
9/04/2020,0
14/04/2020,0
15/04/2020,0
16/04/2020,0
17/04/2020,0
20/04/2020,0
21/04/2020,0
22/04/2020,0
23/04/2020,0
24/04/2020,0
27/04/2020,0
28/04/2020,0.2
29/04/2020,0.2
30/04/2020,0
1/05/2020,14.2
4/05/2020,0
5/05/2020,9.8
6/05/2020,0.2
7/05/2020,0
8/05/2020,0
11/05/2020,0
12/05/2020,0
13/05/2020,0
14/05/2020,0
15/05/2020,2.6
18/05/2020,1.2
19/05/2020,0.6
20/05/2020,0
21/05/2020,0.2
22/05/2020,21.4
25/05/2020,0
26/05/2020,47
27/05/2020,6.2
28/05/2020,0
29/05/2020,0
1/06/2020,0.2
2/06/2020,3.8
3/06/2020,0
4/06/2020,0
5/06/2020,0
9/06/2020,4.6
10/06/2020,5
